"fips" "longitude" "latitude"
"29177" 26045 -84.8374710083008 42.5961265563965
"29289" 26049 -83.6969451904297 43.0121192932129
"29457" 26055 -85.5614547729492 44.6625442504883
"29513" 26057 -84.6049880981445 43.2926292419434
"29569" 26059 -84.5938339233398 41.8870162963867
"29681" 26063 -83.0202026367188 43.8367958068848
"29737" 26065 -84.3751754760742 42.5978698730469
"29793" 26067 -85.0740966796875 42.9448738098145
"29961" 26073 -84.8466720581055 43.6404876708984
"30017" 26075 -84.4224472045898 42.2480583190918
"30073" 26077 -85.530403137207 42.2452659606934
"30185" 26081 -85.5490951538086 43.0321235656738
"30353" 26087 -83.2256164550781 43.094669342041
"30465" 26091 -84.0659790039062 41.8948936462402
"30521" 26093 -83.9125366210938 42.6039581298828
"30689" 26099 -82.9264907836914 42.6891288757324
"30913" 26107 -85.3245086669922 43.6407279968262
"31025" 26111 -84.3879241943359 43.6467132568359
"31081" 26113 -85.0925979614258 44.337776184082
"31137" 26115 -83.5425262451172 41.9295806884766
"31193" 26117 -85.1525344848633 43.3107414245605
"31305" 26121 -86.1519775390625 43.291130065918
"31361" 26123 -85.8008117675781 43.554573059082
"31529" 26129 -84.1271591186523 44.3348274230957
"31809" 26139 -86.0028839111328 42.9596176147461
"31977" 26145 -84.0424346923828 43.3315315246582
"32033" 26147 -82.679443359375 42.9305534362793
"32089" 26149 -85.5348739624023 41.9133338928223
"32145" 26151 -82.827880859375 43.4240188598633
"32257" 26155 -84.1458969116211 42.9539184570312
"32313" 26157 -83.4228363037109 43.4693565368652
"32369" 26159 -86.0359954833984 42.2478446960449
"32425" 26161 -83.8388519287109 42.2539710998535
"32649" 27003 -93.2460327148438 45.2587661743164
"32873" 27011 -96.4002838134766 45.423210144043
"32929" 27013 -94.0730743408203 44.0297622680664
"32985" 27015 -94.7074661254883 44.2505569458008
"33097" 27019 -93.8053588867188 44.8157691955566
"33209" 27023 -95.5595092773438 45.0202026367188
"33265" 27025 -92.9116897583008 45.5040397644043
"33321" 27027 -96.4925994873047 46.8967247009277
"33433" 27033 -95.1732330322266 44.0136528015137
"33545" 27037 -93.0514984130859 44.6874008178711
"33601" 27039 -92.8651885986328 44.0231552124023
"33657" 27041 -95.4533615112305 45.9337425231934
"33713" 27043 -93.9478378295898 43.6738052368164
"33769" 27045 -92.0874633789062 43.6721725463867
"33825" 27047 -93.349006652832 43.6738433837891
"33881" 27049 -92.7274627685547 44.4093360900879
"33937" 27051 -96.012809753418 45.9336738586426
"33993" 27053 -93.4840774536133 45.0038948059082
"34049" 27055 -91.4920654296875 43.6696166992188
"34161" 27059 -93.2967300415039 45.5621528625488
"34273" 27063 -95.1539459228516 43.6740074157715
"34385" 27067 -95.0052261352539 45.1522331237793
"34553" 27073 -96.1606674194336 44.9924392700195
"34665" 27079 -93.7400588989258 44.3669471740723
"34721" 27081 -96.2690582275391 44.4123077392578
"34777" 27083 -95.8405151367188 44.4137420654297
"34833" 27085 -94.2617416381836 44.8133811950684
"35001" 27091 -94.5509185791016 43.6742286682129
"35057" 27093 -94.5241851806641 45.1128273010254
"35225" 27099 -92.7512130737305 43.6728172302246
"35281" 27101 -95.7632369995117 44.0222434997559
"35337" 27103 -94.2421112060547 44.3489799499512
"35393" 27105 -95.753288269043 43.6743850708008
"35505" 27109 -92.4021148681641 44.0026168823242
"35561" 27111 -95.7122116088867 46.4102973937988
"35729" 27117 -96.2585601806641 44.0230827331543
"35841" 27121 -95.4445953369141 45.5861511230469
"36009" 27127 -95.252815246582 44.4041900634766
"36065" 27129 -94.9486541748047 44.7274398803711
"36121" 27131 -93.2912292480469 44.361930847168
"36177" 27133 -96.2528686523438 43.6749114990234
"36345" 27139 -93.5278091430664 44.6490478515625
"36401" 27141 -93.767707824707 45.4413528442383
"36457" 27143 -94.2375564575195 44.5774536132812
"36513" 27145 -94.6142654418945 45.552791595459
"36569" 27147 -93.2262725830078 44.0223388671875
"36625" 27149 -96.0002517700195 45.5861778259277
"36681" 27151 -95.6786804199219 45.282901763916
